Fleet code,278,620,877,108,11 fleet,12,13,Fourteen Fleet,nine Fleet,Seedan Fleet,Everest Mumbai-17,Everest Mumbai-18,Everest Mumbai-19,Everest Mumbai-20,Everest Mumbai-21,Everest Mumbai-22,Everest Mumbai-23,Prihans,776,981,816,455,788,DEL-1,DEL-2,DEL-3,Pramod,Everest BLR leasing -2,Everest BLR -3,Everest BLR-4,Everest BLR-5,Everest BLR leasing -3,Everest BLR leasing -4,Everest BLR leasing -5,Everest BLR-7,Everest HYD-1,Everest HYD-2,Hyd leasing -1,Hyd leasing -2,Hyd leasing -3,Hyd leasing -4,Everest HYD-3,Everest HYD-4,Everest HYD-5,Hyd leasing-5,Hyd leasing-6,Pune-1,Pune-2
Paid to you:Your earnings:Fare:Cancellation,2237.9700000000003,15238.63,4952.3099999999995,1570.4,2118.16,538.27,1764.33,4605.76,3657.5699999999997,4754.500000000001,3949.3499999999995,4337.51,37.72,2440.4,1229.88,3226.42,3844.1299999999997,4176.02,4478.34,4381.7,5085.19,4536.29,5122.849999999999,10669.839999999998,9127.31,4725.139999999999,53265.789999999986,16582.62,1094.06,296.73,845.3,11300.67,7873.6,194.63000000000002,1339.7,12724.38,11036.08,4815.38,4391.29,3359.8600000000006,3155.71,9800.74,6048.9,1486.66,1322.0300000000002,672.3999999999999,7315.669999999999,485.74
Paid to you:Your earnings:Taxes:TDS on promotions,-495.31,-5678.07,-2775.76,-10.42,-701.94,-245.0,-4.01,-6053.3,-5144.93,-4692.0199999999995,-3216.29,-5472.2,0.0,-494.0,0.0,-14468.53,-10809.78,-1894.1299999999999,-1861.8400000000001,-5626.62,-5414.860000000001,-1619.6599999999999,-1859.86,-5119.450000000001,-8034.47,0.0,-11546.960000000001,-3777.56,-125.25,0.0,-50.44,-17332.18,-14305.68,-637.5,-782.0,-5277.88,-3522.92,-1226.6,-2668.5699999999997,-1351.17,-623.26,-3331.0,-5584.739999999999,0.0,-720.1,0.0,-6542.799999999999,0.0
Paid to you:Your earnings:Tip,375.0,3085.1,2145.0,425.0,135.0,150.0,220.0,1540.0,1220.0,2770.0,1133.01,1745.01,0.0,1180.0,50.0,1295.45,1075.0,915.0,1260.03,1465.0,1525.99,1810.0,1625.0,1042.2,1506.49,855.05,8180.5599999999995,2744.59,480.0,25.0,165.3,2034.54,1000.0,0.0,50.0,2060.0,1125.0,400.0,475.0,250.0,275.0,1680.0,840.15,35.0,75.0,100.0,1775.0,75.0
Paid to you:Trip balance:Refunds:Parking charges,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paid to you:Your earnings:Promotion:Promotion,23800.0,214500.0,105700.0,0.0,34550.0,12250.0,0.0,58150.0,134300.0,81900.0,39600.0,62400.0,0.0,41900.0,11400.0,0.0,0.0,93450.0,92200.0,93200.0,89700.0,77300.0,89050.0,193100.0,188600.0,0.0,458200.0,187400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168400.0,135800.0,60050.0,69250.0,65950.0,0.0,102400.0,80200.0,18600.0,23450.0,0.0,109000.0,0.0
Paid to you:Your earnings:Fare:Adjustment,65.34000000000003,-2657.7200000000003,-421.28000000000003,-181.12,-970.05,-98.7,-408.47,-2094.3599999999997,-851.63,-1237.08,-685.1700000000001,-1455.9600000000003,0.0,-1505.03,-120.01,-2073.31,-1301.25,-348.44999999999993,-3209.6800000000003,-1195.92,-2225.0699999999997,-1690.51,-1622.2399999999998,-4883.23,-4924.339999999999,-2366.75,-12169.46,-2997.16,-150.54,-46.9,-36.02,-2825.3900000000003,-1942.9199999999998,0.0,-185.1,-1882.9999999999998,-1035.63,-451.5400000000001,-975.35,-696.82,223.13,-0.4900000000000091,-1469.0399999999997,-15.699999999999996,515.73,-110.85,-87.62000000000003,0.0
Paid to you:Your earnings:Fare:Surge,378.68999999999994,4468.74,2645.39,672.5400000000001,429.65,72.73,529.3,1854.76,1315.1,1669.52,1044.76,1732.6599999999999,0.0,1226.46,252.20999999999998,720.3100000000001,1852.8300000000002,1041.98,1618.8000000000002,1136.4900000000002,1092.1499999999999,3517.36,2627.25,37660.8,36870.65,16820.29,139272.16999999998,53727.20999999999,2204.17,1618.25,1044.47,31557.079999999998,24703.329999999998,1521.8900000000003,4147.84,49148.94,46562.04,10743.359999999999,16881.219999999998,8728.4,7786.6900000000005,39040.67,31920.100000000002,5780.56,3554.63,2117.88,364.58,227.17999999999998
Paid to you:Your earnings:Taxes:Tax on fare,-66.72999999999999,-852.4899999999999,-461.0899999999999,-39.839999999999996,-89.68,0.0,-90.81,-270.77000000000004,-150.26000000000002,-391.5,-228.89000000000001,-321.0,0.0,-127.01,-26.85,-213.78000000000003,-178.89000000000001,-266.56,-137.53,-315.73,-370.21999999999997,-262.47,-364.48,-39862.02,-75789.75,-21620.2,-1138.04,-409.35,-29.5,-6.29,0.0,-181.16,-167.45,0.0,-12.68,-216.31000000000003,-286.77,-46.71,-47.76,-57.370000000000005,-24.599999999999998,-263.86,-82.4,-57.690000000000005,-13.93,-11.12,-139.29000000000002,-9.79
Paid to you:Trip balance:Payouts:Transferred To Bank Account,-98003.14000000001,-941508.28,-468103.82,-100453.54999999999,-145336.79,-43603.24,-81870.61,-626501.48,-912987.73,-618172.02,-221365.11,-671999.23,-27716.24,-203470.88,-37123.51,-835287.51,-874134.94,-425677.75,-395627.89,-548563.09,-482587.56,-380841.12,-382973.2899999999,-616320.73,-1831951.95,0.0,-1256972.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-113139.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-751281.01,0.0
Paid to you:Your earnings:Promotion:Quest,120,6290,2870,0,0,0,200,3070,80,1120,800,850,0,4500,0,1360,440,280,0,6050,800,2600,3230,1905,1825,440,24000,1000,12525,1000,4700,109125,54793,1875,9100,3200,5450,1080,3950,1400,100,4150,46387,11725,12555,2250,3625,0
Paid to you:Your earnings:Other earnings:Nighttime charges,571.44,1857.2000000000003,0.0,142.86,0.0,0.0,285.72,142.86,0.0,142.86,142.86,0.0,0.0,142.86,0.0,0.0,142.86,0.0,0.0,142.86,0.0,285.72,285.72,190.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3360.0,3839.98,960.0,1600.0,400.0,80.0,2639.98,880.0,880.0,320.0,160.0,2178.58,100.0
Paid to you:Your earnings:Promotion:Referral reward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3633.57,0.0
Paid to you:Your earnings:Fare:Reservation Fee,0.0,380.96,0.0,0.0,114.28,0.0,0.0,0.0,0.0,942.8599999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14,0.0,380.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paid to you:Your earnings:Other earnings:Adjustment,0.0,3061.0,154.0,521.0,547.0,0.0,0.0,1445.0,1291.0,1577.0,59.0,359.0,0.0,0.0,0.0,2053.0,0.0,971.0,833.0,2067.0,243.0,1083.0,661.0,965.0,1288.0,357.0,5124.0,478.0,0.0,0.0,344.0,384.0,491.0,0.0,0.0,2285.0,4889.0,200.0,223.0,206.0,1063.0,0.0,2621.0,829.0,0.0,0.0,189.0,0.0
Paid to you:Your earnings:Promotion:Boost*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paid to you:Your earnings:Fare:Pick-up distance,152.85000000000002,1196.52,754.5600000000001,178.22999999999996,257.57,54.13,82.58,630.09,341.12,537.35,465.63,669.0999999999999,2.71,256.82,26.549999999999997,362.47,398.15999999999997,447.98,700.94,368.7099999999999,498.57000000000005,674.0699999999999,580.78,40345.54,36540.18,21389.5,148912.15,51956.71,3413.25,1036.31,2232.04,34231.38,24893.359999999993,914.09,2755.7699999999995,35407.69,36877.21,16369.329999999998,15971.2,14297.019999999999,12653.8,37411.92,23292.0,5777.63,5978.24,2773.9299999999994,1682.9499999999998,310.28999999999996
Paid to you:Your earnings:Fare:Pick-up time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.02000000000004,78.56,5.380000000000001,1.6600000000000001,3.05,51.59,38.120000000000005,1.62,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.09
Paid to you:Trip balance:Collection:Arrears collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,70000,0,0,0,0,0,0,0,0
Paid to you:Trip balance:Refunds:Non-trip balance (misc.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paid to you:Your earnings:Other earnings:COVID-19 Vaccination Reward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paid to you:Your earnings:Fare:Fare Adjustment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.23,1862.5100000000002,628.74,15302.699999999999,5092.969999999999,287.09,5.949999999999999,116.19,3565.7300000000005,2853.75,173.73,269.65999999999997,1727.99,1598.42,786.55,1445.13,1328.08,474.28,1960.14,1700.0,248.76999999999998,48.68,38.8,0.0,0.0
Paid to you:Your earnings:Other earnings:Minimum earnings promotion payout,815,0,0,0,0,0,0,0,1575,0,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,0
Paid to you:Your earnings:Fare:Max Fare Adjustment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-858.2399999999999,-410.51,-662.3100000000001,-21061.41,-8497.380000000001,-290.3,-331.81,-71.2,-5648.299999999999,-4683.48,-171.05,-739.0899999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paid to you:Your earnings:Other fees:Adjustment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gwu : Paid to you:Your earnings:Promotion:Promotion,0.0,60000.0,30000.0,0.0,0.0,0.0,0.0,240000.0,120000.0,150000.0,120000.0,210000.0,0.0,0.0,0.0,720000.0,540000.0,0.0,0.0,180000.0,180000.0,0.0,0.0,60000.0,210000.0,0.0,90000.0,0.0,0.0,0.0,0.0,750000.0,660000.0,30000.0,30000.0,90000.0,30000.0,0.0,60000.0,0.0,30000.0,60000.0,150000.0,0.0,0.0,30000.0,210000.0,0.0
